id,code,name
l10n_py_edi.issue_reason_picking_1,1,Traslado por venta
l10n_py_edi.issue_reason_picking_2,2,Traslado por consignación
l10n_py_edi.issue_reason_picking_3,3,Exportación
l10n_py_edi.issue_reason_picking_4,4,Traslado por compra
l10n_py_edi.issue_reason_picking_5,5,Importación
l10n_py_edi.issue_reason_picking_6,6,Traslado por devolución
l10n_py_edi.issue_reason_picking_7,7,Traslado entre locales de la empresa
l10n_py_edi.issue_reason_picking_8,8,Traslado de bienes por transformación
l10n_py_edi.issue_reason_picking_9,9,Traslado de bienes por; reparación
l10n_py_edi.issue_reason_picking_10,10,Traslado por emisor móvil
l10n_py_edi.issue_reason_picking_11,11,Exhibición o demostración
l10n_py_edi.issue_reason_picking_12,12,Participación en ferias
l10n_py_edi.issue_reason_picking_13,13,Traslado de encomienda
l10n_py_edi.issue_reason_picking_14,14,Decomiso
l10n_py_edi.issue_reason_picking_99,99,Otro
